text,intent
please remove me from the subscription,subscription_cancel
suspicious activity on my account,security_concern
my card was charged without permission,refund_request
I cancelled but was still charged,refund_request
Upgrade pricing question,subscription_upgrade
i think my account was hacked,security_concern
how do i get started?,general_inquiry
"Hi, transaction failed error",payment_failed
"Hello, cORS error with API request",api_integration_help
Please cancel my account,subscription_cancel
Python library for your API,api_integration_help
"Excuse me, upgrade pricing question",subscription_upgrade
"Hello, how does your platform work?",general_inquiry
"Hey, recover suspended account",account_suspended
i want to cancel the annual plan,subscription_cancel
"Hi, refund processing time question",refund_request
"I've been banned, why?",account_suspended
Give me back what I paid,refund_request
cancel before the next billing cycle,subscription_cancel
What's your SLA?,general_inquiry
how do i handle failed webhooks?,api_integration_help
I'm getting a payment error,payment_failed
Suspicious activity on my account,security_concern
Do you support international payments?,general_inquiry
Move me to the business tier,subscription_upgrade
what's the difference between your plans?,general_inquiry
"Hi, i need a full refund immediately",refund_request
I'm getting a 401 unauthorized error from the API,api_integration_help
"Hey, the product didn't work and I want my money back",refund_request
My account is locked,account_suspended
the product didn't work and i want my money back,refund_request
I want to go from basic to advanced,subscription_upgrade
Account terminated unfairly,account_suspended
Account takeover attempt,security_concern
terminate my subscription,subscription_cancel
Fraudulent charges on my account,security_concern
i can't access my account anymore,account_suspended
Cancel renewal before it happens,subscription_cancel
What's included in the Premium plan?,subscription_upgrade
Switching from monthly to annual plan,subscription_upgrade
"Hey, webhook not receiving events",api_integration_help
How to get a custom plan?,subscription_upgrade
api key permissions and scopes,api_integration_help
"i didn't authorize this charge, refund me",refund_request
How long have you been in business?,general_inquiry
"Hello, do you offer discounts for nonprofits?",general_inquiry
How to test the API in sandbox mode?,api_integration_help
can't pay for my subscription renewal,payment_failed
Stop charging my card,subscription_cancel
Admin removed my access,account_suspended
account frozen without explanation,account_suspended
i received an account suspension notice,account_suspended
"Hey, i can't access my account anymore",account_suspended
"Hey, upgrade plan for more users",subscription_upgrade
my trial account got suspended,account_suspended
"Hi, can small businesses use your service?",general_inquiry
Please remove me from the subscription,subscription_cancel
i need a plan with more api calls,subscription_upgrade
"Hey, my payment is not going through",payment_failed
How to protect my account from fraud?,security_concern
i want to unlock advanced features,subscription_upgrade
I need my payment reversed,refund_request
how do i appeal an account suspension?,account_suspended
"Hey, my access has been revoked",account_suspended
I need help debugging my API integration,api_integration_help
someone is trying to access my account,security_concern
how do i get a refund?,refund_request
i want a refund for my last payment,refund_request
"i was double charged, i need a refund",refund_request
Can you show me API documentation?,api_integration_help
"Hello, suspicious activity on my account",security_concern
api latency issues,api_integration_help
"Hey, is there a free trial available?",general_inquiry
CORS error with API request,api_integration_help
"Hi, i no longer need this service",subscription_cancel
"Hey, i got a login alert I didn't trigger",security_concern
what currencies are supported?,general_inquiry
"Hello, account takeover attempt",security_concern
is there a free trial available?,general_inquiry
I need higher rate limits,subscription_upgrade
how do i integrate the api?,api_integration_help
How do I pause instead of cancel?,subscription_cancel
"Hey, i need more storage, can I upgrade?",subscription_upgrade
"Hi, security audit for my business account",security_concern
what's included in the premium plan?,subscription_upgrade
I need to reset my password urgently,security_concern
i want to return and get refunded,refund_request
"Hello, is my data stored securely?",general_inquiry
How do I cancel my plan?,subscription_cancel
"Hi, how long does onboarding take?",general_inquiry
"Hi, do you integrate with other tools?",general_inquiry
Can you reverse the charge?,refund_request
"Excuse me, how do I get started?",general_inquiry
How do I handle failed webhooks?,api_integration_help
My account got deactivated,account_suspended
Why was my account disabled?,account_suspended
Terminate my subscription,subscription_cancel
is my data stored securely?,general_inquiry
Someone else is using my account,security_concern
i want money back for my purchase,refund_request
"i bought the wrong plan, can i get a refund?",refund_request
"Hi, billing error on my account",payment_failed
I need the plan with priority support,subscription_upgrade
"i want all the features, how do i upgrade?",subscription_upgrade
how do i contact support?,general_inquiry
Unauthorized login detected,security_concern
"Hello, can I upgrade my team's plan?",subscription_upgrade
I think my account was hacked,security_concern
how to test the api in sandbox mode?,api_integration_help
cors error with api request,api_integration_help
My refund hasn't been processed yet,refund_request
Cancel my renewal,subscription_cancel
"Hello, please refund my subscription",refund_request
how often do you release updates?,general_inquiry
I didn't make this purchase,security_concern
please cancel my account,subscription_cancel
Cancel effective at end of month,subscription_cancel
discontinue my monthly plan,subscription_cancel
My PayPal payment failed,payment_failed
"Hey, can I speak to a sales representative?",general_inquiry
"Hi, i'm cancelling because it's too expensive",subscription_cancel
"Excuse me, account disabled without reason",account_suspended
Why does my payment keep declining?,payment_failed
How do I go live from test mode?,api_integration_help
upgrade pricing question,subscription_upgrade
I want to see my login history,security_concern
Someone accessed my account without permission,security_concern
I need to integrate payments into my app,api_integration_help
Charge me back please,refund_request
"I didn't authorize this charge, refund me",refund_request
I need a plan with more API calls,subscription_upgrade
what are the benefits of upgrading?,subscription_upgrade
My access has been revoked,account_suspended
i no longer need this service,subscription_cancel
"I bought the wrong plan, can I get a refund?",refund_request
upgrade my account to enterprise,subscription_upgrade
